Sigma Ratio Sc_solvent Sc_all Rho Emol nbonds A11 A12 A13 A14 A15 A22 A23 A24 A25 A33 A34 A35 A44 A45 A55 B Gamma rD kB Fsrp Rsrp Press1 Press2 Comp1 Comp2 Comp3 Comp4 Comp5
6.62344 0.265392 5.71873e+07 5.30686e+07 3.73 0 0 -61.0 -225.7 -197.03 -272.06 -248.27 -85.05 -130.13 -252.6 -133.53 -22.69 -33.35 -88.49 -13.28 -32.54 -64.53 75.03 14.97 1.3 0.0 0.0 0.0 -1.505 -0.321 0.916 0.004 0.024 0.013 0.043 
23.7273 0.174041 1.38384e+06 1.34299e+06 7.93 0 0 -95.39 -435.93 -354.85 -143.08 0.0 -35.14 -42.87 -131.07 0.0 -99.54 -97.55 0.0 -112.93 0.0 0.0 60.75 14.32 1.5 0.0 0.0 0.0 232.934 -1.354 0.965 0.024 0.008 0.003 0.0 
2.36304 -0.719585 232.482 232.41 5.73 0 0 -30.9 -147.7 -76.94 0.0 0.0 -24.72 -105.8 0.0 0.0 -92.52 0.0 0.0 0.0 0.0 0.0 40.11 14.55 1.26 0.0 0.0 0.0 69.584 -0.212 0.987 0.001 0.012 0.0 0.0 
12.3285 0.0422303 338.24 338.24 7.76 0 0 -59.45 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 48.1 14.69 1.01 0.0 0.0 0.0 347.386 -0.392 1.0 0.0 0.0 0.0 0.0 
17.8446 -0.22596 3404.64 3395.33 4.8 4739.0032 172 -86.61 -213.93 -45.9 0.0 0.0 -52.65 -75.29 0.0 0.0 -22.28 0.0 0.0 0.0 0.0 0.0 68.63 13.36 1.23 41.6 90.1 1.86 -4.518 -0.531 0.93 0.046 0.024 0.0 0.0 
3.39729 0.164562 375.493 356.857 3.02 2380.6667 134 -57.88 -121.55 -268.56 -183.48 0.0 -111.81 -110.69 -185.6 0.0 -94.49 -232.45 0.0 -90.02 0.0 0.0 49.3 14.78 1.15 25.0 44.0 1.75 -1.004 -0.182 0.909 0.035 0.021 0.035 0.0 
7.13276 0.314792 3.31632e+06 3.2749e+06 5.12 0 0 -107.76 -81.9 -503.24 -516.17 -510.78 -23.09 -32.33 -77.58 -61.42 -76.98 -122.4 -51.58 -54.47 -67.0 -50.71 15.1 14.39 1.12 0.0 0.0 0.0 -8.552 -2.906 0.866 0.047 0.043 0.041 0.003 
44.7101 0.287257 8.19934e+06 7.60509e+06 5.96 0 0 -75.45 -339.52 -212.77 0.0 0.0 -14.89 -27.55 0.0 0.0 -118.35 0.0 0.0 0.0 0.0 0.0 17.5 14.06 1.68 0.0 0.0 0.0 -22.02 -7.121 0.919 0.033 0.048 0.0 0.0 
22.4469 0.160939 1431.54 1362.77 4.11 16898.801 459 -88.43 -102.58 -80.47 -54.83 0.0 -105.24 -12.63 -36.83 0.0 -14.72 -20.02 0.0 -95.4 0.0 0.0 40.27 14.58 1.66 58.1 61.8 1.84 -3.627 -1.215 0.882 0.021 0.05 0.047 0.0 
13.7421 0.192307 1244.36 1208.51 4.32 10852.309 300 -58.42 -39.73 -8.76 -29.79 0.0 -115.12 -55.26 -140.45 0.0 -59.47 -86.23 0.0 -115.1 0.0 0.0 27.45 12.82 1.65 57.1 74.1 1.4 -3.252 -0.89 0.942 0.016 0.005 0.037 0.0 
1.52455 0.264651 826.115 777.773 5.66 4167.3035 168 -17.0 -22.44 -6.46 -9.52 0.0 -48.52 -59.68 -29.11 0.0 -24.04 -3.61 0.0 -56.24 0.0 0.0 23.04 14.38 1.67 36.7 62.2 1.9 44.746 0.311 0.931 0.028 0.02 0.021 0.0 
5.04545 0.204754 8.77111 15.7824 3.67 8102.6421 374 -89.47 -119.89 -14.32 -14.32 0.0 -73.34 -104.88 -103.41 0.0 -86.52 -31.15 0.0 -34.84 0.0 0.0 36.01 12.56 1.57 31.5 27.3 1.91 -1.835 -0.574 0.906 0.018 0.028 0.048 0.0 
25.112 0.145187 4271.36 4162.88 5.94 0 0 -96.13 -13.46 -339.34 0.0 0.0 -51.28 -177.43 0.0 0.0 -60.03 0.0 0.0 0.0 0.0 0.0 54.11 15.19 1.29 0.0 0.0 0.0 -9.061 -0.955 0.934 0.022 0.044 0.0 0.0 
1.22488 -0.0879496 47.3307 47.1586 4.22 386.33728 41 -29.84 -63.86 0.0 0.0 0.0 -75.67 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 64.1 15.15 1.09 12.0 59.9 1.89 7.848 -0.038 0.988 0.012 0.0 0.0 0.0 
